Cultivo,Region,Año,temp_media,temp_max,temp_min,precipitacion_total,humedad_media,fuente_produccion
Chirimoya,Cajamarca,2023,14.796547945205479,21.30413698630137,10.339863013698631,772.37,73.73917808219178,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2024,15.666994535519125,22.647595628415303,10.904180327868852,338.02,68.1496174863388,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2025,14.338904109589041,20.85309589041096,9.841890410958904,671.04,73.3171506849315,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2026,14.482265193370166,20.92707182320442,9.896740331491712,301.93,75.61939226519337,solo_clima_NASA_POWER
Cocona,Ucayali,2015,28.330164383561645,33.590931506849316,24.00328767123288,870.64,70.84504109589041,solo_clima_NASA_POWER
Cocona,Ucayali,2016,28.234535519125682,33.323934426229506,23.992021857923497,1179.73,72.06486338797815,solo_clima_NASA_POWER
Cocona,Ucayali,2017,26.266493150684934,30.09915068493151,23.016246575342468,1594.1200000000001,84.01695890410959,solo_clima_NASA_POWER
Cocona,Ucayali,2018,26.36213698630137,30.553095890410958,22.827616438356163,1353.51,81.45057534246575,solo_clima_NASA_POWER
Cocona,Ucayali,2019,27.085041095890414,31.423424657534245,23.43542465753425,1652.08,78.75476712328768,solo_clima_NASA_POWER
Cocona,Ucayali,2020,27.738169398907104,32.31065573770492,23.89030054644809,933.2,75.12879781420764,solo_clima_NASA_POWER
Cocona,Ucayali,2021,28.623917808219176,33.85602739726028,24.230438356164385,698.97,66.2014794520548,solo_clima_NASA_POWER
Cocona,Ucayali,2022,28.916931506849316,34.66668493150685,24.085671232876713,583.52,63.190136986301376,solo_clima_NASA_POWER
Cocona,Ucayali,2023,30.168931506849315,35.864438356164385,25.337013698630138,616.95,59.49087671232876,solo_clima_NASA_POWER
Cocona,Ucayali,2024,30.012841530054647,35.76639344262295,25.281448087431695,671.15,62.710081967213114,solo_clima_NASA_POWER
Cocona,Ucayali,2025,27.653999999999996,32.431041095890414,23.63772602739726,1445.49,74.99958904109589,solo_clima_NASA_POWER
Cocona,Ucayali,2026,25.41646408839779,28.252983425414364,22.96972375690608,1067.51,90.79701657458563,solo_clima_NASA_POWER
Curcuma,SanMartin,2015,25.01276712328767,30.152876712328766,21.046082191780823,1191.24,77.93435616438356,solo_clima_NASA_POWER
Curcuma,SanMartin,2016,25.56844262295082,30.843360655737705,21.496584699453553,1108.23,75.71306010928961,solo_clima_NASA_POWER
Curcuma,SanMartin,2017,24.280356164383562,28.936520547945204,20.766246575342468,1303.3,82.30419178082191,solo_clima_NASA_POWER
Curcuma,SanMartin,2018,24.22980821917808,29.013315068493153,20.613342465753423,1323.34,81.30473972602739,solo_clima_NASA_POWER
Curcuma,SanMartin,2019,24.445424657534247,29.158986301369865,20.857479452054793,1395.82,81.51690410958903,solo_clima_NASA_POWER
Curcuma,SanMartin,2020,25.374863387978145,30.27185792349727,21.50049180327869,1015.88,76.85598360655737,solo_clima_NASA_POWER
Curcuma,SanMartin,2021,25.81487671232877,31.04649315068493,21.5927397260274,873.1800000000001,70.9869589041096,solo_clima_NASA_POWER
Curcuma,SanMartin,2022,25.86419178082192,31.244931506849316,21.487479452054796,914.36,69.6644109589041,solo_clima_NASA_POWER
Curcuma,SanMartin,2023,27.106383561643835,32.57410958904109,22.57972602739726,651.74,65.01794520547945,solo_clima_NASA_POWER
Curcuma,SanMartin,2024,27.60808743169399,33.27344262295082,22.93653005464481,620.87,64.60325136612022,solo_clima_NASA_POWER
Curcuma,SanMartin,2025,26.10841095890411,31.526849315068493,21.798575342465753,969.62,70.92904109589041,solo_clima_NASA_POWER
Curcuma,SanMartin,2026,24.00845303867403,27.82232044198895,21.118342541436466,767.7,86.52386740331491,solo_clima_NASA_POWER
Granadilla,Junin,2015,8.843013698630136,15.736931506849315,3.930931506849315,393.64,75.87175342465753,solo_clima_NASA_POWER
Granadilla,Junin,2016,9.20844262295082,16.47756830601093,4.005874316939891,264.06,73.6884699453552,solo_clima_NASA_POWER
Granadilla,Junin,2017,9.026876712328766,15.896547945205478,4.133561643835616,391.9,75.87813698630137,solo_clima_NASA_POWER
Granadilla,Junin,2018,8.643890410958903,15.373123287671232,3.8444109589041098,345.75,75.774,solo_clima_NASA_POWER
Granadilla,Junin,2019,9.204383561643835,16.145671232876712,4.216465753424657,372.85,75.2352602739726,solo_clima_NASA_POWER
Granadilla,Junin,2020,9.202950819672132,16.18669398907104,4.1957650273224045,335.18,74.90428961748634,solo_clima_NASA_POWER
